Ratio Data Name,Column,Column2,22rv1|nt|6h,Reference,22rv1|nt|6h vs. Reference,22rv2|olaparib|6h,Reference2,22rv2|olaparib|6h vs. Reference
Endogenous,CTNNB1,NM_001904.3,4606.61,4606.61,1.00,4239.29,4606.61,-1.09
Endogenous,CUL1,NM_003592.2,1542.49,1542.49,1.00,1474.25,1542.49,-1.05
Endogenous,CXXC4,NM_025212.1,9.97,9.97,1.00,7.78,9.97,-1.28
Endogenous,CYLD,NM_015247.1,184.99,184.99,1.00,180.11,184.99,-1.03
Endogenous,DAXX,NM_001350.3,792.55,792.55,1.00,635.95,792.55,-1.25
Endogenous,DDB2,NM_000107.1,246.65,246.65,1.00,267.94,246.65,1.09
Endogenous,DDIT3,NM_004083.4,2332.32,2332.32,1.00,2163.56,2332.32,-1.08
Endogenous,DDIT4,NM_019058.2,248.47,248.47,1.00,351.33,248.47,1.41
Endogenous,DKK1,NM_012242.2,519.60,519.60,1.00,463.62,519.60,-1.12
Endogenous,DKK2,NM_014421.2,12.70,12.70,1.00,4.45,12.70,-2.85
Endogenous,DKK4,NM_014420.2,6.35,6.35,1.00,5.56,6.35,-1.14
Endogenous,DLL1,NM_005618.3,3.63,3.63,1.00,3.34,3.63,-1.09
Endogenous,DLL3,NM_203486.2,24.48,24.48,1.00,21.12,24.48,-1.16
Endogenous,DNMT1,NM_001379.2,1342.08,1342.08,1.00,1225.20,1342.08,-1.10
Endogenous,DNMT3A,NM_022552.3,607.56,607.56,1.00,480.30,607.56,-1.26
Endogenous,DTX3,NM_178502.2,38.99,38.99,1.00,34.47,38.99,-1.13
Endogenous,DTX4,NM_015177.1,16.32,16.32,1.00,21.12,16.32,1.29
Endogenous,DUSP10,NM_144728.2,115.17,115.17,1.00,135.64,115.17,1.18
Endogenous,DUSP2,NM_004418.3,217.64,217.64,1.00,230.14,217.64,1.06
Endogenous,DUSP4,NM_057158.2,379.05,379.05,1.00,637.06,379.05,1.68
Endogenous,DUSP5,NM_004419.3,44.43,44.43,1.00,75.60,44.43,1.70
Endogenous,DUSP6,NM_001946.2,264.79,264.79,1.00,243.48,264.79,-1.09
Endogenous,DUSP8,NM_004420.2,95.22,95.22,1.00,91.17,95.22,-1.04
Endogenous,E2F1,NM_005225.1,661.07,661.07,1.00,634.84,661.07,-1.04
Endogenous,E2F5,NM_001951.3,435.27,435.27,1.00,456.95,435.27,1.05
Endogenous,EFNA1,NM_004428.2,223.08,223.08,1.00,190.12,223.08,-1.17
Endogenous,EFNA2,NM_001405.3,55.32,55.32,1.00,33.35,55.32,-1.66
Endogenous,EFNA3,NM_004952.4,177.74,177.74,1.00,100.06,177.74,-1.78
Endogenous,EFNA5,NM_001962.2,48.97,48.97,1.00,41.14,48.97,-1.19
Endogenous,EGF,NM_001963.3,6.35,6.35,1.00,5.56,6.35,-1.14
Endogenous,EGFR,NM_201282.1,812.50,812.50,1.00,787.15,812.50,-1.03
Endogenous,EIF4EBP1,NM_004095.3,1966.88,1966.88,1.00,1813.34,1966.88,-1.08
Endogenous,ENDOG,NM_004435.2,1519.82,1519.82,1.00,1465.35,1519.82,-1.04
Endogenous,EP300,NM_001429.2,998.40,998.40,1.00,906.12,998.40,-1.10
Endogenous,EPHA2,NM_004431.2,243.03,243.03,1.00,183.45,243.03,-1.32
Endogenous,EPO,NM_000799.2,2.72,2.72,1.00,1.11,2.72,-2.45
Endogenous,EPOR,NM_000121.2,48.97,48.97,1.00,42.25,48.97,-1.16
Endogenous,ERBB2,NM_004448.2,393.56,393.56,1.00,283.51,393.56,-1.39
Endogenous,ERCC2,NM_000400.2,207.66,207.66,1.00,197.90,207.66,-1.05
