Ratio Data Name,Column,Column2,22rv1|nt|6h,Reference,22rv1|nt|6h vs. Reference,22rv2|olaparib|6h,Reference2,22rv2|olaparib|6h vs. Reference
Endogenous,TFDP1,NM_007111.4,1050.09,1050.09,1.00,1030.64,1050.09,-1.02
Endogenous,TGFB1,NM_000660.3,128.77,128.77,1.00,95.61,128.77,-1.35
Endogenous,TGFB2,NM_003238.2,41.71,41.71,1.00,43.36,41.71,1.04
Endogenous,TGFB3,NM_003239.2,48.06,48.06,1.00,42.25,48.06,-1.14
Endogenous,TGFBR2,NM_001024847.1,72.55,72.55,1.00,55.59,72.55,-1.31
Endogenous,THBS1,NM_003246.2,1290.39,1290.39,1.00,1184.07,1290.39,-1.09
Endogenous,THBS4,NM_003248.3,11.79,11.79,1.00,12.23,11.79,1.04
Endogenous,THEM4,NM_053055.4,437.08,437.08,1.00,441.38,437.08,1.01
Endogenous,TIAM1,NM_003253.2,5.44,5.44,1.00,10.01,5.44,1.84
Endogenous,TLR2,NM_003264.3,1.00,1.00,1.00,13.34,1.00,13.34
Endogenous,TLR4,NM_138554.2,4.53,4.53,1.00,3.34,4.53,-1.36
Endogenous,TLX1,NM_005521.3,76.17,76.17,1.00,56.70,76.17,-1.34
Endogenous,TMPRSS2,NM_005656.2,177.74,177.74,1.00,249.04,177.74,1.40
Endogenous,TNC,NM_002160.3,70.73,70.73,1.00,80.05,70.73,1.13
Endogenous,TNFAIP3,NM_006290.2,9.07,9.07,1.00,11.12,9.07,1.23
Endogenous,TNFRSF10A,NM_003844.2,131.49,131.49,1.00,128.97,131.49,-1.02
Endogenous,TNFRSF10B,NM_003842.3,127.86,127.86,1.00,151.20,127.86,1.18
Endogenous,TNFRSF10C,NM_003841.2,8.16,8.16,1.00,12.23,8.16,1.50
Endogenous,TNFRSF10D,NM_003840.3,178.64,178.64,1.00,240.15,178.64,1.34
Endogenous,TNFSF10,NM_003810.2,4.53,4.53,1.00,5.56,4.53,1.23
Endogenous,TNN,NM_022093.1,4.53,4.53,1.00,1.11,4.53,-4.08
Endogenous,TNR,NM_003285.2,5.44,5.44,1.00,3.34,5.44,-1.63
Endogenous,TP53,NM_000546.2,380.86,380.86,1.00,373.56,380.86,-1.02
Endogenous,TPO,NM_175722.1,1.00,1.00,1.00,4.45,1.00,4.45
Endogenous,TRAF7,NM_032271.2,1098.15,1098.15,1.00,1028.41,1098.15,-1.07
Endogenous,TSC1,NM_000368.3,141.46,141.46,1.00,111.18,141.46,-1.27
Endogenous,TSHR,NM_001018036.2,1.00,1.00,1.00,1.11,1.00,1.11
Endogenous,TSLP,NM_033035.4,92.49,92.49,1.00,123.41,92.49,1.33
Endogenous,TSPAN7,NM_004615.3,15.42,15.42,1.00,22.24,15.42,1.44
Endogenous,TTK,NM_003318.3,551.34,551.34,1.00,472.51,551.34,-1.17
Endogenous,U2AF1,NM_001025203.1,4796.13,4796.13,1.00,4239.29,4796.13,-1.13
Endogenous,UBB,NM_018955.2,10342.20,10342.20,1.00,10527.62,10342.20,1.02
Endogenous,UBE2T,NM_014176.3,2513.69,2513.69,1.00,2524.90,2513.69,1.00
Endogenous,VEGFA,NM_001025366.1,1317.60,1317.60,1.00,1161.83,1317.60,-1.13
Endogenous,VEGFC,NM_005429.2,30.83,30.83,1.00,16.68,30.83,-1.85
Endogenous,VHL,NM_000551.2,862.38,862.38,1.00,814.95,862.38,-1.06
Endogenous,WEE1,NM_003390.3,1555.18,1555.18,1.00,1565.41,1555.18,1.01
Endogenous,WHSC1,NM_007331.1,1537.05,1537.05,1.00,1391.97,1537.05,-1.10
Endogenous,WHSC1L1,NM_017778.2,892.30,892.30,1.00,770.48,892.30,-1.16
Endogenous,WIF1,NM_007191.2,99.75,99.75,1.00,107.84,99.75,1.08
Endogenous,WNT10A,NM_025216.2,4.53,4.53,1.00,4.45,4.53,-1.02
Endogenous,WNT10B,NM_003394.2,97.94,97.94,1.00,84.50,97.94,-1.16
Endogenous,WNT11,NM_004626.2,9.07,9.07,1.00,4.45,9.07,-2.04
Endogenous,WNT2,NM_003391.2,12.70,12.70,1.00,15.57,12.70,1.23
Endogenous,WNT2B,NM_024494.1,9.97,9.97,1.00,4.45,9.97,-2.24
Endogenous,WNT3,NM_030753.3,17.23,17.23,1.00,13.34,17.23,-1.29
Endogenous,WNT5A,NM_003392.3,11.79,11.79,1.00,13.34,11.79,1.13
Endogenous,WNT6,NM_006522.3,7.25,7.25,1.00,7.78,7.25,1.07
Endogenous,WNT7A,NM_004625.3,16.32,16.32,1.00,10.01,16.32,-1.63
Endogenous,WNT7B,NM_058238.1,8.16,8.16,1.00,4.45,8.16,-1.84
Endogenous,WT1,NM_000378.3,41.71,41.71,1.00,35.58,41.71,-1.17
Endogenous,XPA,NM_000380.3,277.48,277.48,1.00,306.86,277.48,1.11
Endogenous,XRCC4,NM_003401.3,87.96,87.96,1.00,83.38,87.96,-1.05
Endogenous,ZAK,NM_016653.2,45.34,45.34,1.00,40.02,45.34,-1.13
Endogenous,ZBTB16,NM_006006.4,552.25,552.25,1.00,641.51,552.25,1.16
Endogenous,ZIC2,NM_007129.2,215.82,215.82,1.00,189.01,215.82,-1.14
Housekeeping,ACAD9,NM_014049.4,484.24,484.24,1.00,461.40,484.24,-1.05
Housekeeping,AGK,NM_018238.3,641.12,641.12,1.00,665.97,641.12,1.04
Housekeeping,AMMECR1L,NM_001199140.1,202.22,202.22,1.00,158.99,202.22,-1.27
Housekeeping,C10orf76,NM_024541.2,204.94,204.94,1.00,233.48,204.94,1.14
Housekeeping,CC2D1B,NM_032449.2,16.32,16.32,1.00,27.79,16.32,1.70
Housekeeping,CNOT10,NM_001256741.1,706.41,706.41,1.00,645.96,706.41,-1.09
Housekeeping,CNOT4,NM_001190848.1,454.31,454.31,1.00,519.21,454.31,1.14
Housekeeping,COG7,NM_153603.3,420.76,420.76,1.00,403.58,420.76,-1.04
Housekeeping,DDX50,NM_024045.1,884.14,884.14,1.00,939.47,884.14,1.06
Housekeeping,DHX16,NM_001164239.1,267.51,267.51,1.00,282.40,267.51,1.06
Housekeeping,DNAJC14,NM_032364.5,240.31,240.31,1.00,223.47,240.31,-1.08
Housekeeping,EDC3,NM_001142443.1,951.25,951.25,1.00,1278.57,951.25,1.34
Housekeeping,EIF2B4,NM_172195.3,999.31,999.31,1.00,881.66,999.31,-1.13
Housekeeping,ERCC3,NM_000122.1,110.63,110.63,1.00,75.60,110.63,-1.46
Housekeeping,FCF1,NM_015962.4,1319.41,1319.41,1.00,1196.30,1319.41,-1.10
Housekeeping,FTSJ2,NM_013393.1,1297.65,1297.65,1.00,1253.00,1297.65,-1.04
Housekeeping,GPATCH3,NM_022078.2,53.50,53.50,1.00,41.14,53.50,-1.30
Housekeeping,HDAC3,NM_003883.2,744.49,744.49,1.00,787.15,744.49,1.06
Housekeeping,MRPS5,NM_031902.3,1603.25,1603.25,1.00,1566.52,1603.25,-1.02
Housekeeping,MTMR14,NM_022485.3,335.52,335.52,1.00,412.48,335.52,1.23
Housekeeping,NOL7,NM_016167.3,2054.84,2054.84,1.00,1825.57,2054.84,-1.13
Housekeeping,NUBP1,NM_001278506.1,146.00,146.00,1.00,153.43,146.00,1.05
Housekeeping,PIAS1,NM_016166.1,234.86,234.86,1.00,196.79,234.86,-1.19
Housekeeping,PIK3R4,NM_014602.1,462.47,462.47,1.00,443.61,462.47,-1.04
Housekeeping,PRPF38A,NM_032864.3,1759.22,1759.22,1.00,1771.10,1759.22,1.01
Housekeeping,RBM45,NM_152945.2,98.84,98.84,1.00,103.40,98.84,1.05
Housekeeping,SAP130,NM_024545.3,362.73,362.73,1.00,361.33,362.73,-1.00
Housekeeping,SF3A3,NM_006802.2,1459.97,1459.97,1.00,1396.42,1459.97,-1.05
Housekeeping,SLC4A1AP,NM_018158.2,509.63,509.63,1.00,490.30,509.63,-1.04
Housekeeping,TLK2,NM_006852.2,496.93,496.93,1.00,476.96,496.93,-1.04
Housekeeping,TMUB2,NM_024107.2,155.07,155.07,1.00,154.54,155.07,-1.00
Housekeeping,TRIM39,NM_021253.3,120.61,120.61,1.00,126.75,120.61,1.05
Housekeeping,TTC31,NR_027749.1,317.38,317.38,1.00,365.78,317.38,1.15
Housekeeping,USP39,NM_001256725.1,771.70,771.70,1.00,691.54,771.70,-1.12
Housekeeping,VPS33B,NM_018668.3,125.14,125.14,1.00,137.86,125.14,1.10
Housekeeping,ZC3H14,NM_001160103.1,629.33,629.33,1.00,669.30,629.33,1.06
Housekeeping,ZKSCAN5,NM_014569.3,110.63,110.63,1.00,104.51,110.63,-1.06
Housekeeping,ZNF143,NM_003442.5,206.75,206.75,1.00,215.69,206.75,1.04
Housekeeping,ZNF346,NM_012279.2,76.17,76.17,1.00,85.61,76.17,1.12
Housekeeping,ZNF384,NM_133476.3,638.40,638.40,1.00,598.15,638.40,-1.07
